#Blocks,Test1,Test2,Test3,Test4,Test5
1,0.0003071829996770248,2.9949998861411586e-05,2.584500180091709e-05,2.8834998374804854e-05,2.7080997824668884e-05
2,3.2030999136622995e-05,2.5276000087615103e-05,2.48910000664182e-05,2.5281999114667997e-05,2.4810000468278304e-05
4,2.7013000362785533e-05,2.681700061657466e-05,2.5130000722128898e-05,2.5034001737367362e-05,2.5140001525869593e-05
8,3.49729998561088e-05,2.5542998628225178e-05,2.5117999030044302e-05,2.4843000574037433e-05,2.493799911462702e-05
16,3.1565999961458147e-05,2.549499913584441e-05,2.513300205464475e-05,2.7084002795163542e-05,3.3363998227287084e-05
32,2.6408000849187374e-05,1.5531000826740637e-05,1.4066998119233176e-05,1.3721000868827105e-05,1.3463999493978918e-05
64,2.1328000002540648e-05,1.4671000826638192e-05,1.4003999240230769e-05,1.3925000530434772e-05,1.3827000657329336e-05
128,1.7726000805851072e-05,1.4948000170988962e-05,1.4925000868970528e-05,1.4766999811399728e-05,1.4784000086365268e-05
256,1.94569984159898e-05,1.7122001736424863e-05,1.6499001503689215e-05,1.6684996808180586e-05,1.640399932512082e-05
512,2.357300036237575e-05,2.1963998733554035e-05,2.0503000996541232e-05,1.994299964280799e-05,1.9971001165686175e-05
1024,3.8715999835403636e-05,5.318200055626221e-05,2.8839000151492655e-05,2.622499960125424e-05,2.5973000447265804e-05
2048,3.751999975065701e-05,3.5917997593060136e-05,3.563499922165647e-05,3.583799843909219e-05,3.554499926394783e-05
4096,5.800500002806075e-05,5.604300167760812e-05,8.160699871950783e-05,5.8556001022225246e-05,5.7044002460315824e-05
8192,0.00014426599955186248,9.936000060406514e-05,0.00013614099952974357,0.00011349699707352556,0.0001559410011395812
16384,0.0003305670034023933,0.0001942390008480288,0.00021497100169654004,0.0001862560020526871,0.00018738400103757158
32768,0.0005871419998584315,0.00040632899981574155,0.0003687489988806192,0.00037258399970596656,0.0003703660004248377
65536,0.0013675020018126816,0.0009039500000653788,0.0008172630004992243,0.0007883380021667108,0.0007653100001334678
131072,0.0021776949979539495,0.0017073140006687026,0.001530376001028344,0.002382082999247359,0.0017119240001193248
262144,0.004552177000732627,0.003994900998804951,0.004901217998849461,0.006614870999328559,0.004549861998384586
524288,0.013484555998729775,0.009947950002242578,0.009805133002373623,0.009430458001588704,0.00839808599994285
1048576,0.026089483999385266,0.02192243200261146,0.017983186997298617,0.017295765999733703,0.017123797002568608
2097152,0.04528912599926116,0.034642317001271294,0.03471027699924889,0.03503970699966885,0.03754197400121484
4194304,0.07569057200089446,0.07305747600184986,0.07323668000026373,0.07340652399943792,0.07280680400072015
8388608,0.14000428799772635,0.13580163300139247,0.13599500200143666,0.1371073170012096,0.13614211000094656
16777216,0.26410936300089816,0.2665000310007599,0.2677685909984575,0.2649883840022085,0.26796712599752937
33554432,0.5244459880013892,0.5184824240022863,0.5207936519982468,0.5244581740007561,0.5214870080017135
67108864,1.041166050999891,1.0429247900028713,1.0376921280003444,1.0432321229964145,1.040560215998994
134217728,2.117348010000569,2.0571837259994936,2.0650795080000535,2.076329452000209,2.0759213299970725
268435456,4.12976811399858,4.1272955640015425,4.286271771998145,4.149508482998499,4.131274873998336
536870912,8.2896966469998,8.235242279999511,8.230819782002072,8.279900470999564,8.277859597001225
